CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-7.74659+10.0223*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "6.29609+-6.16523*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "1.44067+-0.737154*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "0.661315+0.108595*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "1.32176+-0.592887*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-0.942345+1.77915*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "4.0232+-3.3532*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "8.70778+-8.13095*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.499695"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -15, 0, "3.62355"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0, 0.12, "0.908551"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.12, 0.35, "0.707196+2.70651*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.35, 0.494, "-5.0899+19.2697*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.494, 0.562, "24.585+-40.8009*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.562, 0.63, "5.17478+-6.26324*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.63, 0.698, "0.511599+1.13864*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.698, 0.766, "6.57028+-7.54141*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-6.75838+9.85892*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "18.2405+-20.8712*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-9.34319+11.9471*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "7.00085+-6.89331*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "1.14785+-0.349995*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "2.08806+-1.3703*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "0.353808+0.471712*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-1.4528+2.36444*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "4.0134+-3.28538*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "8.37522+-7.73395*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.574789"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -15, 0, "2.38969"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0, 0.12, "0.576968"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.12, 0.35, "0.215169+3.33604*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.35, 0.494, "-5.09191+18.4991*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.494, 0.562, "22.7238+-37.808*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.562, 0.63, "3.73612+-4.02206*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.63, 0.698, "0.117845+1.72122*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.698, 0.766, "6.3085+-7.14791*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-7.40678+10.7572*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "17.5632+-19.9374*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-8.38818+10.9388*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "7.0462+-6.85302*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "1.75508+-0.937855*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "-0.470603+1.47743*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "2.07497+-1.22632*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-0.6333+1.61106*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "5.04622+-4.25924*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "11.2461+-10.5824*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.63701"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -15, 0, "3.39496"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0, 0.12, "0.743914"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.12, 0.35, "0.507629+2.59999*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.35, 0.494, "-4.94708+18.1849*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.494, 0.562, "23.9241+-40.2588*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.562, 0.63, "2.70907+-2.50964*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.63, 0.698, "-0.0186581+1.82008*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.698, 0.766, "5.99525+-6.79584*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-7.53063+10.862*x"
